TYPE,SCOPE,NAME,DESCRIPTION,,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDoS12B02,,,BmsDoHmiStatBits[12].2,BMSDOHMISTATBITS[12].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B03,,,BmsDoHmiStatBits[12].3,BMSDOHMISTATBITS[12].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B04,,,BmsDoHmiStatBits[12].4,BMSDOHMISTATBITS[12].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B05,,,BmsDoHmiStatBits[12].5,BMSDOHMISTATBITS[12].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B06,,,BmsDoHmiStatBits[12].6,BMSDOHMISTATBITS[12].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B07,,,BmsDoHmiStatBits[12].7,BMSDOHMISTATBITS[12].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B08,,,BmsDoHmiStatBits[12].8,BMSDOHMISTATBITS[12].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B09,,,BmsDoHmiStatBits[12].9,BMSDOHMISTATBITS[12].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B10,,,BmsDoHmiStatBits[12].10,BMSDOHMISTATBITS[12].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B11,,,BmsDoHmiStatBits[12].11,BMSDOHMISTATBITS[12].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B12,,,BmsDoHmiStatBits[12].12,BMSDOHMISTATBITS[12].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B13,,,BmsDoHmiStatBits[12].13,BMSDOHMISTATBITS[12].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
