TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDoS0B05,,,BmsStatBits[140].5,BMSSTATBITS[140].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B06,,,BmsStatBits[140].6,BMSSTATBITS[140].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B07,,,BmsStatBits[140].7,BMSSTATBITS[140].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B08,,,BmsStatBits[140].8,BMSSTATBITS[140].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B09,,,BmsStatBits[140].9,BMSSTATBITS[140].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B10,,,BmsStatBits[140].10,BMSSTATBITS[140].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B11,,,BmsStatBits[140].11,BMSSTATBITS[140].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B12,,,BmsStatBits[140].12,BMSSTATBITS[140].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B13,,,BmsStatBits[140].13,BMSSTATBITS[140].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B14,,,BmsStatBits[140].14,BMSSTATBITS[140].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS0B15,,,BmsStatBits[140].15,BMSSTATBITS[140].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS1,,,BmsStatBits[141],BMSSTATBITS[141],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10,,,BmsStatBits[150],BMSSTATBITS[150],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B00,,,BmsStatBits[150].0,BMSSTATBITS[150].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B01,,,BmsStatBits[150].1,BMSSTATBITS[150].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B02,,,BmsStatBits[150].2,BMSSTATBITS[150].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B03,,,BmsStatBits[150].3,BMSSTATBITS[150].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B04,,,BmsStatBits[150].4,BMSSTATBITS[150].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B05,,,BmsStatBits[150].5,BMSSTATBITS[150].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B06,,,BmsStatBits[150].6,BMSSTATBITS[150].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B07,,,BmsStatBits[150].7,BMSSTATBITS[150].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B08,,,BmsStatBits[150].8,BMSSTATBITS[150].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B09,,,BmsStatBits[150].9,BMSSTATBITS[150].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B10,,,BmsStatBits[150].10,BMSSTATBITS[150].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B11,,,BmsStatBits[150].11,BMSSTATBITS[150].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B12,,,BmsStatBits[150].12,BMSSTATBITS[150].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B13,,,BmsStatBits[150].13,BMSSTATBITS[150].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B14,,,BmsStatBits[150].14,BMSSTATBITS[150].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS10B15,,,BmsStatBits[150].15,BMSSTATBITS[150].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11,,,BmsStatBits[151],BMSSTATBITS[151],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B00,,,BmsStatBits[151].0,BMSSTATBITS[151].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B01,,,BmsStatBits[151].1,BMSSTATBITS[151].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B02,,,BmsStatBits[151].2,BMSSTATBITS[151].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B03,,,BmsStatBits[151].3,BMSSTATBITS[151].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B04,,,BmsStatBits[151].4,BMSSTATBITS[151].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B05,,,BmsStatBits[151].5,BMSSTATBITS[151].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B06,,,BmsStatBits[151].6,BMSSTATBITS[151].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B07,,,BmsStatBits[151].7,BMSSTATBITS[151].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B08,,,BmsStatBits[151].8,BMSSTATBITS[151].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B09,,,BmsStatBits[151].9,BMSSTATBITS[151].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B10,,,BmsStatBits[151].10,BMSSTATBITS[151].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B11,,,BmsStatBits[151].11,BMSSTATBITS[151].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B12,,,BmsStatBits[151].12,BMSSTATBITS[151].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B13,,,BmsStatBits[151].13,BMSSTATBITS[151].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B14,,,BmsStatBits[151].14,BMSSTATBITS[151].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS11B15,,,BmsStatBits[151].15,BMSSTATBITS[151].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12,,,BmsStatBits[152],BMSSTATBITS[152],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B00,,,BmsStatBits[152].0,BMSSTATBITS[152].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B01,,,BmsStatBits[152].1,BMSSTATBITS[152].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B02,,,BmsStatBits[152].2,BMSSTATBITS[152].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B03,,,BmsStatBits[152].3,BMSSTATBITS[152].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B04,,,BmsStatBits[152].4,BMSSTATBITS[152].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B05,,,BmsStatBits[152].5,BMSSTATBITS[152].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B06,,,BmsStatBits[152].6,BMSSTATBITS[152].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B07,,,BmsStatBits[152].7,BMSSTATBITS[152].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B08,,,BmsStatBits[152].8,BMSSTATBITS[152].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoS12B09,,,BmsStatBits[152].9,BMSSTATBITS[152].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
